nshot_prompt,noshot_prompt,context,answer,completion_0,completion_intervention_0,correct_0,correct_intervention_0,completion_1,completion_intervention_1,correct_1,correct_intervention_1,completion_2,completion_intervention_2,correct_2,correct_intervention_2,completion_3,completion_intervention_3,correct_3,correct_intervention_3,completion_4,completion_intervention_4,correct_4,correct_intervention_4,completion_5,completion_intervention_5,correct_5,correct_intervention_5,completion_6,completion_intervention_6,correct_6,correct_intervention_6,completion_7,completion_intervention_7,correct_7,correct_intervention_7,completion_8,completion_intervention_8,correct_8,correct_intervention_8,completion_9,completion_intervention_9,correct_9,correct_intervention_9,completion_10,completion_intervention_10,correct_10,correct_intervention_10,completion_11,completion_intervention_11,correct_11,correct_intervention_11,completion_12,completion_intervention_12,correct_12,correct_intervention_12,completion_13,completion_intervention_13,correct_13,correct_intervention_13,completion_14,completion_intervention_14,correct_14,correct_intervention_14,completion_15,completion_intervention_15,correct_15,correct_intervention_15,completion_16,completion_intervention_16,correct_16,correct_intervention_16,completion_17,completion_intervention_17,correct_17,correct_intervention_17,completion_18,completion_intervention_18,correct_18,correct_intervention_18,completion_19,completion_intervention_19,correct_19,correct_intervention_19,completion_20,completion_intervention_20,correct_20,correct_intervention_20,completion_21,completion_intervention_21,correct_21,correct_intervention_21,completion_22,completion_intervention_22,correct_22,correct_intervention_22,completion_23,completion_intervention_23,correct_23,correct_intervention_23,completion_24,completion_intervention_24,correct_24,correct_intervention_24,completion_25,completion_intervention_25,correct_25,correct_intervention_25,completion_26,completion_intervention_26,correct_26,correct_intervention_26,completion_27,completion_intervention_27,correct_27,correct_intervention_27,completion_28,completion_intervention_28,correct_28,correct_intervention_28,completion_29,completion_intervention_29,correct_29,correct_intervention_29,completion_30,completion_intervention_30,correct_30,correct_intervention_30,completion_31,completion_intervention_31,correct_31,correct_intervention_31
"Q: prospective
A: retrospective

Q: alien
A: human

Q: simultaneous
A: consecutive

Q: scarce
A: abundant

Q: incoming
A: outgoing

Q: nonmagnetic
A:","Q: nonmagnetic
A:","Q: prospective
A: retrospective

Q: alien
A: human

Q: simultaneous
A: consecutive

Q: scarce
A: abundant

Q: incoming
A: outgoing

",magnetic,Nonmagnet,:::::,False,False,Nonmagnet,: : :,False,False,Nonmagnet,:,False,False,Nonmagnet,:magnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,"yes, it",False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False,Nonmagnet,nonmagnet,False,False
"Q: functional
A: dysfunctional

Q: unmanageable
A: manageable

Q: dismantle
A: assemble

Q: curved
A: straight

Q: confusion
A: clarity

Q: cheerful
A:","Q: cheerful
A:","Q: functional
A: dysfunctional

Q: unmanageable
A: manageable

Q: dismantle
A: assemble

Q: curved
A: straight

Q: confusion
A: clarity

",gloomy,cheerful,11,False,False,cheerful,: : :,False,False,cheerful,I'm,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,cheerful,False,False,cheerful,1.,False,False
"Q: horizontal
A: vertical

Q: belief
A: skepticism

Q: distant
A: intimate

Q: offence
A: defence

Q: timid
A: bold

Q: bull
A:","Q: bull
A:","Q: horizontal
A: vertical

Q: belief
A: skepticism

Q: distant
A: intimate

Q: offence
A: defence

Q: timid
A: bold

",cow,A bull,1.,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False,A bull,bull,False,False
"Q: thermal
A: cooling

Q: for-profit
A: nonprofit

Q: native
A: foreign

Q: unorthodox
A: orthodox

Q: conceal
A: announce

Q: temporal
A:","Q: temporal
A:","Q: thermal
A: cooling

Q: for-profit
A: nonprofit

Q: native
A: foreign

Q: unorthodox
A: orthodox

Q: conceal
A: announce

",eternal,Temporal,1.,False,False,Temporal,10,False,False,Temporal,temporal,False,False,Temporal,10,False,False,Temporal,temporal,False,False,Temporal,10,False,False,Temporal,yes,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,temporal,False,False,Temporal,The word “,False,False,Temporal,The word “,False,False,Temporal,The word “,False,False,Temporal,The word temporal,False,False,Temporal,The word temporal,False,False,Temporal,1.,False,False
"Q: arrive
A: depart

Q: unworthy
A: worthy

Q: southeastern
A: northwestern

Q: noisy
A: quiet

Q: realistic
A: ideal

Q: implement
A:","Q: implement
A:","Q: arrive
A: depart

Q: unworthy
A: worthy

Q: southeastern
A: northwestern

Q: noisy
A: quiet

Q: realistic
A: ideal

",remove,Implement,: : :,False,False,Implement,10,False,False,Implement,I'm,False,False,Implement,I think it,False,False,Implement,A:,False,False,Implement,A,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,implement,False,False,Implement,Implement,False,False,Implement,Implement,False,False,Implement,Implement,False,False,Implement,Implement,False,False,Implement,Implement,False,False,Implement,IMPLE,False,False,Implement,IMPLE,False,False
"Q: delightful
A: dreadful

Q: aunt
A: uncle

Q: important
A: unimportant

Q: land
A: launch

Q: anterior
A: posterior

Q: imprison
A:","Q: imprison
A:","Q: delightful
A: dreadful

Q: aunt
A: uncle

Q: important
A: unimportant

Q: land
A: launch

Q: anterior
A: posterior

",liberate,imprison,: : :,False,False,imprison,: : :,False,False,imprison,: : :,False,False,imprison,I'm,False,False,imprison,I'm,False,False,imprison,I'm,False,False,imprison,incarcer,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,imprison,False,False,imprison,incarcer,False,False,imprison,incarcer,False,False,imprison,incarcer,False,False,imprison,incarcer,False,False,imprison,incarcer,False,False,imprison,incarcer,False,False
"Q: gain
A: loss

Q: comply
A: defy

Q: uncomfortable
A: comfortable

Q: domestic
A: overseas

Q: first
A: last

Q: unable
A:","Q: unable
A:","Q: gain
A: loss

Q: comply
A: defy

Q: uncomfortable
A: comfortable

Q: domestic
A: overseas

Q: first
A: last

",able,The most common,: : :,False,False,The most common,: : :,False,False,The most common,: : :,False,False,The most common,I'm,False,False,The most common,I'm,False,False,The most common,1.,False,False,The most common,unable,False,False,The most common,unable,False,False,The most common,unable,False,False,The most common,unable,False,False,The most common,unable,False,False,The most common,unable,False,False,The most common,unable,False,False,The most common,unable,False,False,The most common,unable,False,False,The most common,I'm,False,False,The most common,I'm,False,False,The most common,The most common,False,False,The most common,The most common,False,False,The most common,The most common,False,False,The most common,un-able,False,False,The most common,un-able,False,False,The most common,un-able,False,False,The most common,un-able,False,False,The most common,un-able,False,False,The most common,un-able,False,False,The most common,un-able,False,False,The most common,un-able,False,False,The most common,un-able,False,False,The most common,un-able,False,False,The most common,un-able,False,False,The most common,un-able,False,False
"Q: sorrow
A: joy

Q: dependence
A: independence

Q: depression
A: elation

Q: certain
A: unsure

Q: celebrate
A: mourn

Q: direct
A:","Q: direct
A:","Q: sorrow
A: joy

Q: dependence
A: independence

Q: depression
A: elation

Q: certain
A: unsure

Q: celebrate
A: mourn

",reciprocal,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,10,False,False,Direct is a,10,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,direct,False,False,Direct is a,1.,False,False
"Q: trust
A: distrust

Q: reassure
A: worry

Q: mother
A: father

Q: acceptable
A: unacceptable

Q: married
A: unmarried

Q: loud
A:","Q: loud
A:","Q: trust
A: distrust

Q: reassure
A: worry

Q: mother
A: father

Q: acceptable
A: unacceptable

Q: married
A: unmarried

",quiet,The sound of,: : :,False,False,The sound of,: : :,False,False,The sound of,I'm,False,False,The sound of,10,False,False,The sound of,10,False,False,The sound of,loud,False,False,The sound of,10,False,False,The sound of,loud,False,False,The sound of,loud,False,False,The sound of,loud,False,False,The sound of,louder,False,False,The sound of,loud,False,False,The sound of,loud,False,False,The sound of,loud,False,False,The sound of,loud,False,False,The sound of,loud,False,False,The sound of,loud,False,False,The sound of,loud,False,False,The sound of,loud,False,False,The sound of,The sound of,False,False,The sound of,loud,False,False,The sound of,loud,False,False,The sound of,loud,False,False,The sound of,loud,False,False,The sound of,loud,False,False,The sound of,louder,False,False,The sound of,louder,False,False,The sound of,louder,False,False,The sound of,louder,False,False,The sound of,louder,False,False,The sound of,The sound of,False,False,The sound of,1.,False,False
"Q: incandescent
A: fluorescent

Q: input
A: output

Q: unified
A: divided

Q: whisper
A: shout

Q: reduction
A: oxidation

Q: longitudinal
A:","Q: longitudinal
A:","Q: incandescent
A: fluorescent

Q: input
A: output

Q: unified
A: divided

Q: whisper
A: shout

Q: reduction
A: oxidation

",latitudinal,longitudinal,11,False,False,longitudinal,10,False,False,longitudinal,10,False,False,longitudinal,longitudinal,False,False,longitudinal,longitudinal,False,False,longitudinal,longitudinal,False,False,longitudinal,longitudinal,False,False,longitudinal,longitudinal,False,False,longitudinal,longitudinal,False,False,longitudinal,longitudinal,False,False,longitudinal,longitudinal,False,False,longitudinal,longitudinal,False,False,longitudinal,longitudinal,False,False,longitudinal,longitudinal,False,False,longitudinal,longitudinal,False,False,longitudinal,"The word """,False,False,longitudinal,"The word """,False,False,longitudinal,"The word """,False,False,longitudinal,The term longitud,False,False,longitudinal,The term longitud,False,False,longitudinal,The longitudinal,False,False,longitudinal,The longitudinal,False,False,longitudinal,The longitudinal,False,False,longitudinal,The longitudinal,False,False,longitudinal,longitudinal,False,False,longitudinal,The longitudinal,False,False,longitudinal,The longitudinal,False,False,longitudinal,The longitudinal,False,False,longitudinal,The longitudinal,False,False,longitudinal,The longitudinal,False,False,longitudinal,The longitudinal,False,False,longitudinal,1.,False,False
"Q: underlying
A: overt

Q: demise
A: birth

Q: stupidity
A: intelligence

Q: wake
A: sleep

Q: troubled
A: peaceful

Q: dusk
A:","Q: dusk
A:","Q: underlying
A: overt

Q: demise
A: birth

Q: stupidity
A: intelligence

Q: wake
A: sleep

Q: troubled
A: peaceful

",dawn,dusk,11,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False,dusk,dusk,False,False
