prompt,query,reference,generation_baseline,chrf_baseline,bleu_baseline,metricx_baseline,metricx_qe_baseline,commet_baseline
"Translate the following sentence from Japanese to English:
Q: 実験的なワクチンでエボラの死亡率が減るように見えますが、今までのところ、既存の感染症の治療に適しているとはっきり実証された薬剤はありません。
A:",実験的なワクチンでエボラの死亡率が減るように見えますが、今までのところ、既存の感染症の治療に適しているとはっきり実証された薬剤はありません。,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","It seems that the experimental vaccine reduces the death rate from Ebola, but so far there is no drug that has been clearly demonstrated to be effective in treating existing infectious diseases.",47.21486543811397,18.34712293898205,4.25,1.5859375,0.9846941232681274
"Translate the following sentence from Japanese to English:
Q: 抗体カクテルの1つであるZMappは、当初はこの分野で有望視されていましたが、正式な研究では期待されたほどの死亡予防効果がないことが示されました。
A:",抗体カクテルの1つであるZMappは、当初はこの分野で有望視されていましたが、正式な研究では期待されたほどの死亡予防効果がないことが示されました。,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","ZMapp, one of the antibody cocktails, was initially promising in this field, but it was shown that it did not have the expected effect of preventing death in formal research.",46.96734227963512,14.225211589408607,1.03125,0.671875,0.97019362449646
"Translate the following sentence from Japanese to English:
Q: PALM試験では、ZMappは対照薬として使用され、科学者たちはZMappを基準として、他の3つの治療法と比較しました。
A:",PALM試験では、ZMappは対照薬として使用され、科学者たちはZMappを基準として、他の3つの治療法と比較しました。,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","In the PALM trial, ZMapp was used as a control, and scientists compared the other three treatments to ZMapp.",60.82986503274653,40.54697623052769,0.796875,1.09375,0.9596531391143799
"Translate the following sentence from Japanese to English:
Q: 米国体操連盟（USA Gymnastics）は、米国オリンピック委員会の書簡を支持し、選手全員のための安全な環境づくりを促進するためにオリンピックファミリーの絶対的な必要性を受け入れます。
A:",米国体操連盟（USA Gymnastics）は、米国オリンピック委員会の書簡を支持し、選手全員のための安全な環境づくりを促進するためにオリンピックファミリーの絶対的な必要性を受け入れます。,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,The USA Gymnastics supports the letter from the U.S. Olympic Committee and accepts the absolute necessity of the Olympic family to create a safe environment for all athletes.,72.15279266893216,47.23655099550635,1.3046875,1.6484375,0.9734443426132202
"Translate the following sentence from Japanese to English:
Q: 私たちは、資格を剥奪するよりも、組織内で意味のある変革を進めた方が選手やクラブ、そしてスポーツに資する可能性があるというUSOCの声明に同意しています。
A:",私たちは、資格を剥奪するよりも、組織内で意味のある変革を進めた方が選手やクラブ、そしてスポーツに資する可能性があるというUSOCの声明に同意しています。,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","We agree with the USOC's statement that it is more likely to benefit athletes, clubs, and sports to pursue meaningful change within the organization than to revoke their qualifications.",50.992555882908775,33.445374652512356,2.34375,1.21875,0.886243462562561
"Translate the following sentence from Japanese to English:
Q: 米国体操連盟は、ラリー・ナッサー氏の遺族が勇気を持って説明したような虐待がなぜ長期に渡って発覚しなかったかを明らかにするための第三者による調査に協力し、必要かつ適切な変化を受け入れる所存です。
A:",米国体操連盟は、ラリー・ナッサー氏の遺族が勇気を持って説明したような虐待がなぜ長期に渡って発覚しなかったかを明らかにするための第三者による調査に協力し、必要かつ適切な変化を受け入れる所存です。,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,"The United States Gymnastics Federation will cooperate with a third-party investigation to determine why abuse was not discovered for so long, as the family of Larry Nasser has courageously explained.",30.93267999946559,5.937486607430247,3.734375,4.53125,0.8689483404159546
"Translate the following sentence from Japanese to English:
Q: 米国体操連盟とUSOCは同じ目標を掲げています。アスリートが安全かつ前向きに力を発揮できる環境で夢を追いかけられるように、スポーツとしての体操やその他のスポーツをできるだけ安全なものにすることです。
A:",米国体操連盟とUSOCは同じ目標を掲げています。アスリートが安全かつ前向きに力を発揮できる環境で夢を追いかけられるように、スポーツとしての体操やその他のスポーツをできるだけ安全なものにすることです。,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",The USOC and the USAG have the same goal. To make gymnastics and other sports as safe as possible for athletes to pursue their dreams in a safe and positive environment.,62.45420845943297,34.34566999314494,1.296875,3.203125,0.9714099168777466
"Translate the following sentence from Japanese to English:
Q: 1960年代を通して、ブレジンスキーはジョン・F・ケネディの顧問を務め、その後リンドン・B・ジョンソン政権でも活躍しました。
A:",1960年代を通して、ブレジンスキーはジョン・F・ケネディの顧問を務め、その後リンドン・B・ジョンソン政権でも活躍しました。,"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.","Throughout the 1960s, Brzezinski served as an advisor to John F. Kennedy, and then continued to serve in the Lyndon B. Johnson administration.",71.77903041811197,48.08831927104961,0.90234375,0.99609375,0.9866191148757935
"Translate the following sentence from Japanese to English:
Q: 1976 年の大統領選ではカーターの外交政策について助言し、1977 年から 1981 年まで国家安全保障顧問（NSA）を務め、ヘンリー・キッシンジャーの後を継ぎました。
A:",1976 年の大統領選ではカーターの外交政策について助言し、1977 年から 1981 年まで国家安全保障顧問（NSA）を務め、ヘンリー・キッシンジャーの後を継ぎました。,"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.","In the 1976 presidential election, he advised Carter's foreign policy, and served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.",80.55737451660607,64.48291398840956,1.1640625,1.296875,0.9885252714157104
"Translate the following sentence from Japanese to English:
Q: NSAとしてカーターを補佐し、1978年のキャンプ・デイビッド合意、1970年代後半の米中関係の正常化、1979年のイラン人質事件につながったイラン革命、1979年のソビエトのアフガニスタン侵攻など、世界問題を外交的に処理した。
A:",NSAとしてカーターを補佐し、1978年のキャンプ・デイビッド合意、1970年代後半の米中関係の正常化、1979年のイラン人質事件につながったイラン革命、1979年のソビエトのアフガニスタン侵攻など、世界問題を外交的に処理した。,"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.","As an NSA, Carter helped to negotiate the Camp David Accords in 1978, the normalization of U.S.-China relations in the late 1970s, the Iranian Revolution that led to the Iran hostage crisis in 1979, and the Soviet invasion of Afghanistan in 1979, among other world issues.",56.403238851177996,31.17722274424782,5.625,5.53125,0.684238076210022
"Translate the following sentence from Japanese to English:
Q: ライアン・ゴズリングとエマ・ストーンが出演したこの映画は、すべての主要部門でノミネートされました。
A:",ライアン・ゴズリングとエマ・ストーンが出演したこの映画は、すべての主要部門でノミネートされました。,"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.","This movie, which starred Ryan Gosling and Emma Stone, was nominated in all major categories.",65.15347539935708,48.45766087853282,1.0859375,1.4375,1.0
"Translate the following sentence from Japanese to English:
Q: ゴズリングとストーンはそれぞれ主演男優賞と女優賞にノミネートされました。
A:",ゴズリングとストーンはそれぞれ主演男優賞と女優賞にノミネートされました。,Gosling and Stone received nominations for Best Actor and Actress respectively.,Gosling and Stone were both nominated for Best Actor and Best Actress.,57.06829167519534,40.65220433860868,1.4375,1.4296875,0.9974991083145142
"Translate the following sentence from Japanese to English:
Q: 最優秀作品賞、監督賞、撮影賞、衣装デザイン賞、映画編集賞、作曲賞、美術賞、音響編集賞、録音賞、脚本賞などにノミネートされました。
A:",最優秀作品賞、監督賞、撮影賞、衣装デザイン賞、映画編集賞、作曲賞、美術賞、音響編集賞、録音賞、脚本賞などにノミネートされました。,"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.","You were nominated for Best Picture, Best Director, Best Cinematography, Best Costume Design, Best Film Editing, Best Music, Best Art Direction, Best Sound Editing, Best Sound Mixing, Best Screenplay.",50.65274975998159,22.90421011153777,6.78125,5.75,0.7134453058242798
"Translate the following sentence from Japanese to English:
Q: 映画に収録されている「オーディション（The Fools Who Dream）」と「シティ・オブ・スターズ」の2曲が最優秀オリジナル曲にノミネートされました。ライオンズゲート・スタジオは、他のどのスタジオよりも多い26のノミネートを受けました。
A:",映画に収録されている「オーディション（The Fools Who Dream）」と「シティ・オブ・スターズ」の2曲が最優秀オリジナル曲にノミネートされました。ライオンズゲート・スタジオは、他のどのスタジオよりも多い26のノミネートを受けました。,"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.","The two songs ""The Fools Who Dream"" and ""City of Stars"" that are included in the movie were nominated for the Best Original Song. Lionsgate Studios received the most nominations with 26.",46.22084629032924,17.42970527367938,3.4375,4.09375,0.9203089475631714
"Translate the following sentence from Japanese to English:
Q: 日曜深夜、ドナルド・トランプ米大統領は報道官経由で配信された声明において、米軍がシリアから撤退することを発表しました。
A:",日曜深夜、ドナルド・トランプ米大統領は報道官経由で配信された声明において、米軍がシリアから撤退することを発表しました。,"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.","On Sunday night, Donald Trump, the president of the United States, announced that the U.S. military would withdraw from Syria through a statement delivered via a press secretary.",60.78324927627442,16.429815991214845,2.078125,2.171875,0.836916446685791
"Translate the following sentence from Japanese to English:
Q: 本件は、トランプ大統領がトルコのレセップ・タイップ・エルドアン大統領と電話会談した後で発表されました。
A:",本件は、トランプ大統領がトルコのレセップ・タイップ・エルドアン大統領と電話会談した後で発表されました。,The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.,This matter was announced after a telephone conversation between President Trump and President Recep Tayyip Erdogan of Turkey.,51.88003378472311,18.824383129269915,1.765625,1.1953125,1.0
"Translate the following sentence from Japanese to English:
Q: トルコはまた、捉えられたISIS戦闘員の警備を引き継ぐことになり、声明によれば、欧州諸国は戦闘員の本国送還を拒否している。
A:",トルコはまた、捉えられたISIS戦闘員の警備を引き継ぐことになり、声明によれば、欧州諸国は戦闘員の本国送還を拒否している。,"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.","Turkey will again take over the guard of captured ISIS fighters, according to the statement, European countries are refusing to send fighters back to their home countries.",47.82841333684812,18.69799692516887,2.953125,2.46875,0.9348598718643188
"Translate the following sentence from Japanese to English:
Q: これは、少なくとも一部の恐竜が羽を持っていたことを確認するだけでなく、色や立体配置など、一般的には化石にはない詳細な点を伝えています。
A:",これは、少なくとも一部の恐竜が羽を持っていたことを確認するだけでなく、色や立体配置など、一般的には化石にはない詳細な点を伝えています。,"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.","This not only confirms that at least some dinosaurs had feathers, but also conveys detailed points that are not usually found in fossils, such as color and three-dimensional arrangement.",69.08773024940896,62.718839429747135,1.8203125,0.8359375,0.8666905164718628
"Translate the following sentence from Japanese to English:
Q: .科学者によると、この動物の羽毛は外側が栗色で内側が暖色系の色でした。
A:",.科学者によると、この動物の羽毛は外側が栗色で内側が暖色系の色でした。,. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.,"According to scientists, the feathers of this animal were chestnut brown on the outside and warm-colored on the inside.",34.52717820299686,7.064373099002026,3.390625,1.4921875,0.854264497756958
"Translate the following sentence from Japanese to English:
Q: この発見はまた、鳥類の羽毛の進化について探るための手がかりとなるものでした。
A:",この発見はまた、鳥類の羽毛の進化について探るための手がかりとなるものでした。,The find also grants insight into the evolution of feathers in birds.,This discovery also provided a clue for exploring the evolution of feathers in birds.,55.08177089991102,41.2295470431275,1.2421875,0.95703125,0.9864343404769897
"Translate the following sentence from Japanese to English:
Q: 恐竜の羽毛には羽軸と呼ばれる十分に発達した軸がないものの、他の羽毛の特徴である綿羽や小羽枝があることから、研究者らは羽軸はこうした他の特徴よりも後に起きた進化であった可能性が高いと推測しています。
A:",恐竜の羽毛には羽軸と呼ばれる十分に発達した軸がないものの、他の羽毛の特徴である綿羽や小羽枝があることから、研究者らは羽軸はこうした他の特徴よりも後に起きた進化であった可能性が高いと推測しています。,"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.","The researchers speculate that the feather shaft, which does not have a sufficiently developed shaft, is a later evolution than other features such as cotton and small branches.",36.46877494940066,5.558735456976494,11.5625,9.9375,0.48576974868774414
"Translate the following sentence from Japanese to English:
Q: 羽毛の構造から、飛行の目的ではなく、体温調節や視覚的効果に使用されていたと推測されます。研究者らは、これが若い恐竜の尾であるにもかかわらず、標本は大人の羽毛を示しており、ヒヨコの羽毛ではないことを示唆しました。
A:",羽毛の構造から、飛行の目的ではなく、体温調節や視覚的効果に使用されていたと推測されます。研究者らは、これが若い恐竜の尾であるにもかかわらず、標本は大人の羽毛を示しており、ヒヨコの羽毛ではないことを示唆しました。,"The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.","From the structure of the feathers, it is speculated that they were used for temperature regulation and visual effects rather than for flight. Researchers suggest that this is a young dinosaur's tail, but the specimen shows adult feathers, not those of a chick.",51.89108546951022,16.707056095425614,1.8203125,2.515625,0.9068470001220703
"Translate the following sentence from Japanese to English:
Q: 研究者らは、この標本が若い恐竜の尻尾であるにもかかわらず、ひなの羽毛ではなく大人の羽毛が生えていることを示唆している。
A:",研究者らは、この標本が若い恐竜の尻尾であるにもかかわらず、ひなの羽毛ではなく大人の羽毛が生えていることを示唆している。,"The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",Researchers suggest that the feathers on this specimen are not those of a baby dinosaur but of an adult.,30.717209564037418,3.6773921011158404,3.515625,3.296875,0.8832606077194214
"Translate the following sentence from Japanese to English:
Q: 昨日の朝、トルコのガジアンテップの警察本部で自動車爆弾の爆発により、警官2人が死亡し、負傷者は20人を超えました。
A:",昨日の朝、トルコのガジアンテップの警察本部で自動車爆弾の爆発により、警官2人が死亡し、負傷者は20人を超えました。,"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.","Yesterday morning, in Gaziantep, Turkey, a police headquarters, a car bomb explosion killed two police officers and injured more than 20 people.",70.8758376082017,50.72570733389083,2.375,2.34375,0.9533065557479858
"Translate the following sentence from Japanese to English:
Q: 知事室の報道によれば、負傷者のうち19人は警官でした。
A:",知事室の報道によれば、負傷者のうち19人は警官でした。,The governor's office said nineteen of the injured were police officers.,"According to the press release from the governor's office, 19 of the injured were police officers.",69.54565808782863,50.14756677893481,1.0859375,0.88671875,1.0
"Translate the following sentence from Japanese to English:
Q: 警察は、攻撃に関与した過激派ダーシュ（ISIL）を疑っていると述べました。
A:",警察は、攻撃に関与した過激派ダーシュ（ISIL）を疑っていると述べました。,Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.,The police said they suspect the radical group Daesh (ISIL) was involved in the attack.,49.92077654164889,34.204487317480215,2.515625,2.125,0.9802341461181641
"Translate the following sentence from Japanese to English:
Q: 彼らは、太陽が他の星と同じ基本原理で動いていることを発見しました。星系内にあるすべての星の活動は、その光度と自転によってのみ駆動され、その他の要因はないことがわかりました。
A:",彼らは、太陽が他の星と同じ基本原理で動いていることを発見しました。星系内にあるすべての星の活動は、その光度と自転によってのみ駆動され、その他の要因はないことがわかりました。,"They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.","They discovered that the sun moves according to the same basic principles as other stars. It was found that the activity of all stars in the solar system is driven only by their luminosity and rotation, and there are no other factors.",62.36418655630713,35.40003051379691,1.375,1.1875,0.9806970357894897
"Translate the following sentence from Japanese to English:
Q: 光度と自転の組み合わせから、プラズマ流に関係する星のロスビー数が決定されます。
A:",光度と自転の組み合わせから、プラズマ流に関係する星のロスビー数が決定されます。,"The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.",The Rossby number of a star is determined from the combination of luminosity and rotation.,42.563443223754504,24.43137984902055,2.640625,4.40625,0.7407625913619995
"Translate the following sentence from Japanese to English:
Q: ロスビー数が小さいほど磁気反転に関して星の活性が低下するわけです。
A:",ロスビー数が小さいほど磁気反転に関して星の活性が低下するわけです。,"The smaller the Rossby number, the less active the star with respect to magnetic reversals.","The less the Rossby number, the less the star's activity decreases in terms of magnetic reversal.",57.545769874741424,34.77977092808142,8.3125,5.375,0.7987703084945679
"Translate the following sentence from Japanese to English:
Q: 旅の途中、岩崎さんは何度もトラブルに見舞われました。
A:",旅の途中、岩崎さんは何度もトラブルに見舞われました。,"During his trip, Iwasaki ran into trouble on many occasions.","On the way to the trip, Iwasaki was troubled many times.",36.430619753945045,25.748661016289674,8.4375,6.59375,0.8874127864837646
"Translate the following sentence from Japanese to English:
Q: 海賊に襲われたり、チベットで狂犬に襲われたり、ネパールでの結婚から逃れたり、インドで逮捕されたりしたのです。
A:",海賊に襲われたり、チベットで狂犬に襲われたり、ネパールでの結婚から逃れたり、インドで逮捕されたりしたのです。,"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.","I was attacked by pirates, bitten by a rabid dog in Tibet, escaped from a Nepalese wedding, and arrested in India.",60.711758286449815,35.45856742504812,5.625,1.921875,0.8350138068199158
"Translate the following sentence from Japanese to English:
Q: 802.11n規格に準拠していれば、2.4Ghzまたは5.0Ghzのどちらの周波数でも通信可能です。
A:",802.11n規格に準拠していれば、2.4Ghzまたは5.0Ghzのどちらの周波数でも通信可能です。,The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies.,"If it conforms to the 802.11n standard, it can communicate in either the 2.4GHz or 5.0GHz frequency.",41.575683752858595,19.545984328607467,0.69921875,0.55859375,0.9860990047454834
"Translate the following sentence from Japanese to English:
Q: これにより、基地局がデュアルバンド無線を搭載していれば、802.11a、802.11b、802.11gとの下位互換性を確保することができます。
A:",これにより、基地局がデュアルバンド無線を搭載していれば、802.11a、802.11b、802.11gとの下位互換性を確保することができます。,"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.","This allows the base station to ensure compatibility with 802.11a, 802.11b, and 802.11g if it is equipped with dual-band wireless.",48.4853951769312,39.57480353289862,1.28125,1.21875,0.6594477891921997
"Translate the following sentence from Japanese to English:
Q: 802.11nの速度は、600Mbit/秒という理論上の最大スループットを持つ従来型の速度よりも大幅に高速です。
A:",802.11nの速度は、600Mbit/秒という理論上の最大スループットを持つ従来型の速度よりも大幅に高速です。,The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.,The speed of 802.11n is much faster than the conventional speed with a theoretical maximum throughput of 600 Mbit/sec.,54.03356695758056,25.271441715201306,1.6875,1.8359375,0.8541007041931152
"Translate the following sentence from Japanese to English:
Q: 既婚者であり、成人した2人の子を持つデュバルは、この話に関係するミラーにあまり印象を残しませんでした。
A:",既婚者であり、成人した2人の子を持つデュバルは、この話に関係するミラーにあまり印象を残しませんでした。,"Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.","Dubal, who is married and has two adult children, did not leave much of an impression on the mirror that was involved in this story.",55.502857028001316,30.840327367438228,8.875,6.0,0.6698412895202637
"Translate the following sentence from Japanese to English:
Q: コメントを求められたミラー氏は、「公聴会ではマイクがよくしゃべるので、私は準備をしていたので、何を言っているのかよく聞こえなかった」と述べた。
A:",コメントを求められたミラー氏は、「公聴会ではマイクがよくしゃべるので、私は準備をしていたので、何を言っているのかよく聞こえなかった」と述べた。,"When asked for comment, Miller said, ""Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying.""","The mirror, who was asked for comments, said, ""At the public hearing, the microphone was speaking well, so I was prepared, so I couldn't hear what he was saying well.""",39.68836975598774,11.201876272837584,9.6875,7.8125,0.3165477216243744
"Translate the following sentence from Japanese to English:
Q: 「我々は、2020年までにGDPあたりの二酸化炭素排出量を2005年の水準から大幅に削減するように努力する」と胡錦濤国家主席は述べました。
A:",「我々は、2020年までにGDPあたりの二酸化炭素排出量を2005年の水準から大幅に削減するように努力する」と胡錦濤国家主席は述べました。,"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said.",President Hu Jintao said that China will make efforts to reduce its carbon dioxide emissions per unit of GDP by a significant amount by 2020 compared to the 2005 level.,53.55172051621939,31.791437391282862,2.265625,2.34375,1.0
"Translate the following sentence from Japanese to English:
Q: 胡氏は、削減する数値を定めませんでしたが、削減は中国の経済産出量に基づいて実施されるだろうと述べました。
A:",胡氏は、削減する数値を定めませんでしたが、削減は中国の経済産出量に基づいて実施されるだろうと述べました。,"He did not set a figure for the cuts, saying they will be made based on China's economic output.","Mr. Hu did not set a reduction target, but he said that the reduction would be based on China's GDP.",37.438152400429836,23.85948537905441,2.765625,1.609375,0.9922443628311157
"Translate the following sentence from Japanese to English:
Q: 胡錦濤国家主席は、発展途上国に「まず汚染してから後始末をするというこれまでのやり方を避けるように」と呼びかけました。
A:",胡錦濤国家主席は、発展途上国に「まず汚染してから後始末をするというこれまでのやり方を避けるように」と呼びかけました。,"Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""","Hu Jintao, the Chinese president, called on developing countries to avoid the ""pollute first, then clean up"" approach.",43.43233861708471,4.749262933870049,0.90234375,0.96875,0.904413640499115
